root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.13.170
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:15:50.112109 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1891444402:1891444510, ack 1854542653, win 313, length 108
20:15:50.112219 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:15:50.112321 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:15:50.112435 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:15:50.114459 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 288:468, ack 1, win 313, length 180
20:15:50.114565 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 468:504, ack 1, win 313, length 36
20:15:50.114684 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 504:660, ack 1, win 313, length 156
20:15:50.114768 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 660:696, ack 1, win 313, length 36
20:15:50.114877 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 696:852, ack 1, win 313, length 156
20:15:50.115762 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 852:2040, ack 1, win 313, length 1188
20:15:50.115943 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2040:2204, ack 1, win 313, length 164
20:15:50.116033 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2204:2240, ack 1, win 313, length 36
20:15:50.116137 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2240:2404, ack 1, win 313, length 164
20:15:50.116233 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2404:2440, ack 1, win 313, length 36
20:15:50.116337 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2440:2596, ack 1, win 313, length 156
20:15:50.116443 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2596:2632, ack 1, win 313, length 36
20:15:50.116560 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2632:2796, ack 1, win 313, length 164
20:15:50.116640 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2796:2832, ack 1, win 313, length 36
20:15:50.116741 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2832:2988, ack 1, win 313, length 156
20:15:50.117740 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 2988:4008, ack 1, win 313, length 1020
20:15:50.117893 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 4008:4172, ack 1, win 313, length 164
20:15:50.118040 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 4172:4208, ack 1, win 313, length 36
20:15:50.118253 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 4208:4372, ack 1, win 313, length 164
20:15:50.118394 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 4372:4408, ack 1, win 313, length 36
20:15:50.118569 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 4408:4564, ack 1, win 313, length 156
