root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:12:07.494373 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1890411002:1890411110, ack 1854538777, win 313, length 108
20:12:07.494484 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:12:07.494594 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:12:07.494671 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:12:07.496630 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 288:468, ack 1, win 313, length 180
20:12:07.496738 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 468:504, ack 1, win 313, length 36
20:12:07.496852 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 504:660, ack 1, win 313, length 156
20:12:07.496933 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 660:696, ack 1, win 313, length 36
20:12:07.497038 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 696:852, ack 1, win 313, length 156
20:12:07.497296 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 888:1044, ack 1, win 313, length 156
20:12:07.497499 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1080:1236, ack 1, win 313, length 156
20:12:07.497665 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1272:1428, ack 1, win 313, length 156
20:12:07.497824 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1464:1620, ack 1, win 313, length 156
